iter	Passed	Remaining
0	1	114
1	2	105
2	3	101
3	4	97
4	5	100
5	6	99
6	7	100
7	8	98
8	9	96
9	10	94
10	11	92
11	12	90
12	13	89
13	14	88
14	15	86
15	16	86
16	17	84
17	18	83
18	19	81
19	20	80
20	21	80
21	22	79
22	23	78
23	24	77
24	25	77
25	26	76
26	27	75
27	28	74
28	29	73
29	31	72
30	32	71
31	33	70
32	34	69
33	35	68
34	36	67
35	37	66
36	38	65
37	39	64
38	40	62
39	41	61
40	42	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	74	26
74	75	25
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	95	3
96	96	2
97	97	1
98	98	0
99	99	0
